epoch,train_loss,val_loss,train_spearman,val_spearman
0,0.6259850489370751,0.5117810369726776,0.4348034158404688,0.5109276648893343
1,0.5128957362112622,0.5139615416910701,0.5147959474106194,0.5601000941768149
2,0.47536605550319205,0.4478769831664345,0.5396535463387421,0.5805985581718808
3,0.44615679247648704,0.4379065823398953,0.5551896803483901,0.5974069519645331
4,0.43148186007411016,0.4595661594618538,0.5640370337872528,0.593403920368422
5,0.42361255447100143,0.46998631042847633,0.5699236000235967,0.6066958700671851
6,0.41033657041291466,0.3900840858839268,0.5752405471343353,0.6090911440014121
7,0.4091114662036943,0.42491465698476394,0.5770032970493983,0.6139166174325283
8,0.40353970185801946,0.4895983600056694,0.5818777595467799,0.6085815576315173
9,0.39763397591074984,0.4083864336830649,0.5809039466932977,0.6175882599840733
10,0.38957083181047225,0.3862565432489228,0.5853857497792175,0.6176326832948642
11,0.3924071239263308,0.38022858920796804,0.5852948259397586,0.6224606725398305
12,0.3866854533327116,0.48035031927800986,0.5875291759355962,0.6143382371450298
13,0.3853791517146393,0.43234404271862104,0.5899910272202435,0.6165193466196034
14,0.38119725559398554,0.38471821137012574,0.5908936874356836,0.6187653372546825
15,0.37529481682637367,0.39155303488742677,0.589669063456828,0.619981623637114
16,0.3726181546549191,0.4386279625083215,0.5901874344245204,0.6211407943399042
17,0.37007929957528723,0.3698209860494274,0.5920555074695111,0.6260760047543255
18,0.3679190980183875,0.4201238259849592,0.5918012179662706,0.6220774154615532
19,0.3696551401247791,0.38482290444318606,0.5953210808370094,0.6261015797909694
20,0.3693358530215105,0.39771297300974,0.5933208800440145,0.6226138308517358
21,0.36345805748982124,0.3805456400623496,0.5939681234989503,0.6277824588904826
22,0.364443466047732,0.38360550150092565,0.5957706255366697,0.6200607471002404
23,0.3613290598045974,0.36644441719340504,0.5921400570262384,0.628799009927464
24,0.3589596689032856,0.4340122689118188,0.5974097322864595,0.6255755053769272
25,0.36103262575606315,0.4130013965276133,0.5984850981839817,0.6288784636595184
26,0.3622002478588839,0.41123108638440053,0.5978572083815389,0.6250495311452524
27,0.35587048032154966,0.4101722156199006,0.6005129250491763,0.6264828133280897
28,0.35371185446588993,0.38604202957701195,0.598510770887959,0.6288928752576589
29,0.3544770837598874,0.39097354695550773,0.5977516484410901,0.6286055189394639
30,0.35445920792298524,0.3875223068302544,0.5974358887397054,0.6269373448504842
31,0.356203058594578,0.3828704209231597,0.5978355685711647,0.6284641467184974
