epoch,train_loss,val_loss,train_spearman,val_spearman
1,0.5942966365437967,0.4846024316011753,0.46023842541476173,0.541632054022832
2,0.46908586049743267,0.41242421602222584,0.5461238740389529,0.5966497932410051
3,0.42519281040196405,0.4046727690045334,0.5750229808678262,0.6047912062163062
4,0.4076198263421803,0.4051593768976095,0.5912254498745516,0.6160623300771182
5,0.390473866601323,0.3822964050409332,0.5938462482635365,0.623751739924403
6,0.379694066025886,0.3743934480359763,0.5981516056530103,0.6230861594411359
7,0.3750995274199996,0.4224370705749375,0.6029398434779969,0.6283971359780359
8,0.3663650923789142,0.37143132885033636,0.6056477565702014,0.6233732024459687
9,0.36054034292499887,0.3933991303652604,0.6111292425778221,0.6310557653480247
10,0.35298060959953803,0.38266007305772615,0.6101299988272975,0.6302438762523135
11,0.34923009106586145,0.40662541511204264,0.6106473238959265,0.6258248467818496
12,0.3448822289358738,0.36479751058219284,0.6122540286411082,0.6303355759429679
13,0.3441029293196542,0.36701108633839485,0.6161285809306212,0.6324331886097987
14,0.33644203030785846,0.37689895018816627,0.6182100181712264,0.6358483782339476
15,0.3314239285514996,0.36721762018747606,0.6179286957975242,0.6365927115517522
16,0.3347763933513648,0.42948370460490015,0.6165919482905999,0.6306736749900747
17,0.32575503680793155,0.35094937425235223,0.6191537726559116,0.6366743325238519
18,0.3254996853611398,0.35281512591819864,0.6202432961261946,0.6384801255138862
19,0.31749764751160264,0.364996023772566,0.6229213054146482,0.6356889613427281
20,0.3173361842715463,0.36676636670249213,0.6227197647688792,0.6377664485882069
21,0.31879036513673903,0.39917040819830857,0.621051403563284,0.6319530812593607
22,0.3072470913941282,0.3611281730372963,0.6256068142149536,0.6369713661841435
23,0.31484304219484327,0.3650967838435337,0.6231843001422692,0.6372063197096716
24,0.3077498266170191,0.3678343836761596,0.6272494871453985,0.6386721804540416
25,0.30525700749451934,0.36345978373715987,0.6257291375600619,0.6370880637782322
26,0.31093978204600436,0.36551468627680517,0.6249658150134293,0.6365718735624055
27,0.3023641664621442,0.39269768670003674,0.6286732405721152,0.6370255075177716
28,0.30258734121770164,0.35101578532858935,0.6269060288156781,0.6414214548128669
29,0.30429571272922906,0.37419640085109035,0.6276955336827377,0.6370067542680695
30,0.3005567547243299,0.39613592336127235,0.6274701284411738,0.6395547480102559
31,0.2965302714428236,0.3566352786293713,0.6299337510848758,0.6388552939069683
32,0.29711650734228945,0.38759310405197445,0.6305442248071943,0.6364186220365114
33,0.2942486888893023,0.3671382924527009,0.629691269805661,0.6361746027551848
34,0.29375671195330416,0.39280643691592887,0.6318396744141943,0.63901745846164
35,0.29163659086754157,0.36014063276884095,0.6354858448636096,0.6423649895412537
36,0.2928931423843501,0.3952599401222616,0.6319551963346741,0.6381080364833144
37,0.2934254360951459,0.3650460197375371,0.6337159877005606,0.6394161590688741
38,0.2876960269735501,0.36666628710471033,0.6314097977357845,0.6375541914679328
39,0.2927723192792398,0.3747082548290096,0.6332321641255059,0.6415553223391111
40,0.2881908034763463,0.3657474850628041,0.6344524013639684,0.6347056501582067
41,0.28484833476650356,0.3557079726884473,0.6376493794181418,0.6408892759277587
42,0.2859821249925813,0.38701890673814465,0.6351746491815561,0.6389054825988941
43,0.2847001354262678,0.35898352028994723,0.6377519395264281,0.6444315391763136
44,0.28586852599022,0.3573903678582897,0.6364559965474265,0.6432698834638064
45,0.2843483826646773,0.3823156037444461,0.6376385480462514,0.6372985684112782
46,0.2829835195824553,0.36035707059368216,0.6388392612684605,0.6431960057200424
47,0.2805536487569841,0.3645947439205741,0.6390623223940003,0.6410107159646183
48,0.28201457307089206,0.3953498101123764,0.637312962268278,0.6396364502470436
49,0.2813849227273979,0.3913711805479596,0.6394237151573663,0.6449801408801851
50,0.2809972716773863,0.3722628449097236,0.6378661745410424,0.6432325626557954
